Roster,Time_Out,Origin,Route,Destination,Time_In,Days,Operating Hrs,Layover Hrs,Meal Hrs,Dead Hrs,Operating Dist,Dead Dist,Fuel Cost,Bus Hrs Cost,Tot Roster Cost,Tot Closure Cost,Type
5,15:37,Dapto Station,43SC,Central Station,17:55,Sat 01-Jul-2023,2:18,0:27,,,100.656,0,,,,,
5,17:56,Meal Break Start,MB,Meal Break End,18:26,Sat 01-Jul-2023,0:00,0:01,0:30,,0,0,,,,,
5,18:29,Central Station,43SC,Dapto Station,20:40,Sat 01-Jul-2023,2:11,0:03,,,99.662,0,,,,,
5,21:25,Dapto Station,43SC,Central Station,23:18,Sat 01-Jul-2023,1:53,0:45,,,100.656,0,,,,,
5,23:54,Central Station,43SC,Dapto Station,25:45:00,Sat 01-Jul-2023,1:51,0:36,,,99.662,0,,,,,
5,25:50:00,Dapto Station,Dead,Helensberg,26:24:00,Sat 01-Jul-2023,,0:05,,0:34,0,45.863,,,,,
,,,,Roster_Total,22:13,,16:56,3:13,1:00,2:18,801.272,183.656,$660.89 ,"$2,758.17 ","$3,419.06 ","$16,986.26 ",coach
,,,,,,,,,,,,,,,,,
6,4:39,Helensberg,Dead,Dapto Station,5:14,Sat 01-Jul-2023,,0:05,,0:35,0,45.965,,,,,
6,5:19,Dapto Station,43SC,Central Station,7:04,Sat 01-Jul-2023,1:45,0:00,,,100.656,0,,,,,
6,7:40,Central Station,43SC,Dapto Station,9:53,Sat 01-Jul-2023,2:13,0:36,,,99.662,0,,,,,
6,10:23,Dapto Station,43SC,Central Station,12:39,Sat 01-Jul-2023,2:16,0:30,,,100.656,0,,,,,
6,12:40,Meal Break Start,MB,Meal Break End,13:10,Sat 01-Jul-2023,0:00,0:01,0:30,,0,0,,,,,
6,13:12,Central Station,43SC,Dapto Station,15:46,Sat 01-Jul-2023,2:34,0:02,,,99.662,0,,,,,
6,15:46,Dapto Station,43SC,Helensberg,16:20,Sat 01-Jul-2023,,0:00,,0:34,0,45.863,,,,,
6,15:40,Helensberg,43SC,Dapto Station,16:10,Sat 01-Jul-2023,,0:05,,0:35,0,45.965,,,,,
6,16:15,Dapto Station,43SC,Central Station,18:30,Sat 01-Jul-2023,2:15,0:29,,,100.656,0,,,,,
6,19:17,Central Station,43SC,Dapto Station,21:21,Sat 01-Jul-2023,2:04,0:47,,,99.662,0,,,,,
6,21:22,Meal Break Start,MB,Meal Break End,21:52,Sat 01-Jul-2023,0:00,0:01,0:30,,0,0,,,,,
6,22:03,Dapto Station,43SC,Central Station,23:53,Sat 01-Jul-2023,1:50,0:11,,,100.656,0,,,,,
6,24:32:00,Central Station,43SC,Dapto Station,26:23:00,Sat 01-Jul-2023,1:51,0:39,,,99.662,0,,,,,
6,26:28:00,Dapto Station,Dead,Helensberg,27:02:00,Sat 01-Jul-2023,,0:05,,0:34,0,45.863,,,,,
,,,,Roster_Total,22:23,,16:48,3:31,1:00,2:18,801.272,183.656,$660.89 ,"$2,779.83 ","$3,440.73 ","$20,426.99 ",coach
,,,,,,,,,,,,,,,,,
7,5:13,Helensberg,Dead,Central Station,7:15,Sat 01-Jul-2023,,0:05,,1:00,0,59.028,,,,,
7,7:20,Central Station,43SC,Dapto Station,9:33,Sat 01-Jul-2023,2:13,0:00,,,99.662,0,,,,,
7,10:04,Dapto Station,43SC,Central Station,12:20,Sat 01-Jul-2023,2:16,0:31,,,100.656,0,,,,,
7,12:21,Meal Break Start,MB,Meal Break End,12:51,Sat 01-Jul-2023,0:00,0:01,0:30,,0,0,,,,,
7,12:54,Central Station,43SC,Dapto Station,15:28,Sat 01-Jul-2023,2:34,0:03,,,99.662,0,,,,,
7,15:57,Dapto Station,43SC,Central Station,18:12,Sat 01-Jul-2023,2:15,0:29,,,100.656,0,,,,,
7,18:12,Central Station,43SC,Helensberg,19:11,Sat 01-Jul-2023,,0:00,,0:59,0,57.819,,,,,
7,17:52,Helensberg,43SC,Central Station,18:47,Sat 01-Jul-2023,,0:05,,1:00,0,59.028,,,,,
7,18:52,Central Station,43SC,Dapto Station,21:01,Sat 01-Jul-2023,2:09,0:40,,,99.662,0,,,,,
7,21:02,Meal Break Start,MB,Meal Break End,21:32,Sat 01-Jul-2023,0:00,0:01,0:30,,0,0,,,,,
7,22:38,Dapto Station,43SC,Central Station,24:28:00,Sat 01-Jul-2023,1:50,1:06,,,100.656,0,,,,,
7,24:33:00,Central Station,Dead,Helensberg,25:32:00,Sat 01-Jul-2023,,0:05,,0:59,0,57.819,,,,,
,,,,Roster_Total,20:19,,13:17,3:06,1:00,3:58,600.954,233.694,$531.17 ,"$2,511.17 ","$3,042.34 ","$23,469.33 ",coach
,,,,,,,,,,,,,,,,,
8,5:04,Helensberg,Dead,Dapto Station,5:39,Sat 01-Jul-2023,,0:05,,0:35,0,45.965,,,,,
8,5:44,Dapto Station,43SC,Central Station,7:31,Sat 01-Jul-2023,1:47,0:00,,,100.656,0,,,,,
8,8:00,Central Station,43SC,Dapto Station,10:13,Sat 01-Jul-2023,2:13,0:29,,,99.662,0,,,,,
8,10:41,Dapto Station,43SC,Central Station,12:59,Sat 01-Jul-2023,2:18,0:28,,,100.656,0,,,,,
8,13:01,Meal Break Start,MB,Meal Break End,13:31,Sat 01-Jul-2023,0:00,0:02,0:30,,0,0,,,,,
8,13:47,Central Station,43SC,Dapto Station,16:21,Sat 01-Jul-2023,2:34,0:16,,,99.662,0,,,,,
8,16:21,Dapto Station,43SC,Helensberg,16:55,Sat 01-Jul-2023,,0:00,,0:34,0,45.863,,,,,
8,16:14,Helensberg,43SC,Dapto Station,16:44,Sat 01-Jul-2023,,0:05,,0:35,0,45.965,,,,,
8,16:49,Dapto Station,43SC,Central Station,19:04,Sat 01-Jul-2023,2:15,0:28,,,100.656,0,,,,,
8,19:37,Central Station,43SC,Dapto Station,21:39,Sat 01-Jul-2023,2:02,0:33,,,99.662,0,,,,,
8,21:44,Dapto Station,Dead,Helensberg,22:18,Sat 01-Jul-2023,,0:05,,0:34,0,45.863,,,,,
,,,,Roster_Total,17:14,,13:09,2:31,0:30,2:18,600.954,183.656,$512.66 ,"$2,175.33 ","$2,687.99 ","$26,157.32 ",coach
,,,,,,,,,,,,,,,,,
9,6:21,Helensberg,Dead,Central Station,8:23,Sat 01-Jul-2023,,0:05,,1:00,0,59.028,,,,,
9,8:28,Central Station,43SC,Dapto Station,10:48,Sat 01-Jul-2023,2:20,0:00,,,99.662,0,,,,,
9,11:35,Dapto Station,43SC,Central Station,13:55,Sat 01-Jul-2023,2:20,0:47,,,100.656,0,,,,,
9,14:23,Central Station,43SC,Dapto Station,16:54,Sat 01-Jul-2023,2:31,0:28,,,99.662,0,,,,,
9,17:23,Dapto Station,43SC,Central Station,19:36,Sat 01-Jul-2023,2:13,0:29,,,100.656,0,,,,,
9,19:36,Central Station,43SC,Helensberg,20:35,Sat 01-Jul-2023,,0:00,,0:59,0,57.819,,,,,
9,19:22,Helensberg,43SC,Central Station,20:17,Sat 01-Jul-2023,,0:05,,1:00,0,59.028,,,,,
9,20:22,Central Station,43SC,Dapto Station,22:20,Sat 01-Jul-2023,1:58,0:46,,,99.662,0,,,,,
